26:05:2025-18:39:39 - INFO - LOG: Karnataka,ATHANI ARTO - KA71( 03-AUG-2020 ), No Records Found for year 2025
26:05:2025-18:51:38 - INFO - LOG: Uttar Pradesh,Badaun - UP24( 12-FEB-2018 ),2025,APR Was successfully downloaded
26:05:2025-18:51:52 - INFO - LOG: Uttar Pradesh,Badaun - UP24( 12-FEB-2018 ),2025,MAY Was successfully downloaded
26:05:2025-18:51:57 - INFO - LOG: Karnataka,BENGALURU WEST  RTO - KA2( 26-DEC-2018 ),2025,JAN Was successfully downloaded
26:05:2025-18:52:11 - INFO - LOG: Karnataka,BENGALURU WEST  RTO - KA2( 26-DEC-2018 ),2025,FEB Was successfully downloaded
26:05:2025-18:52:22 - INFO - LOG: Uttar Pradesh,Baghpat - UP17( 14-NOV-2017 ),2025,JAN Was successfully downloaded
26:05:2025-18:52:24 - INFO - LOG: Karnataka,BENGALURU WEST  RTO - KA2( 26-DEC-2018 ),2025,MAR Was successfully downloaded
26:05:2025-18:52:36 - INFO - LOG: Uttar Pradesh,Baghpat - UP17( 14-NOV-2017 ),2025,FEB Was successfully downloaded
26:05:2025-18:52:38 - INFO - LOG: Karnataka,BENGALURU WEST  RTO - KA2( 26-DEC-2018 ),2025,APR Was successfully downloaded
26:05:2025-18:52:49 - INFO - LOG: Uttar Pradesh,Baghpat - UP17( 14-NOV-2017 ),2025,MAR Was successfully downloaded
26:05:2025-18:52:51 - INFO - LOG: Karnataka,BENGALURU WEST  RTO - KA2( 26-DEC-2018 ),2025,MAY Was successfully downloaded
26:05:2025-18:53:03 - INFO - LOG: Uttar Pradesh,Baghpat - UP17( 14-NOV-2017 ),2025,APR Was successfully downloaded
26:05:2025-18:53:16 - INFO - LOG: Uttar Pradesh,Baghpat - UP17( 14-NOV-2017 ),2025,MAY Was successfully downloaded
26:05:2025-18:53:21 - INFO - LOG: Karnataka,BHALKI  ARTO - KA39( 31-JUL-2018 ),2025,JAN Was successfully downloaded
26:05:2025-18:53:35 - INFO - LOG: Karnataka,BHALKI  ARTO - KA39( 31-JUL-2018 ),2025,FEB Was successfully downloaded
26:05:2025-18:53:46 - INFO - LOG: Uttar Pradesh,Bahraich - UP40( 11-DEC-2017 ),2025,JAN Was successfully downloaded
26:05:2025-18:53:48 - INFO - LOG: Karnataka,BHALKI  ARTO - KA39( 31-JUL-2018 ),2025,MAR Was successfully downloaded
26:05:2025-18:53:59 - INFO - LOG: Uttar Pradesh,Bahraich - UP40( 11-DEC-2017 ),2025,FEB Was successfully downloaded
26:05:2025-18:54:02 - INFO - LOG: Karnataka,BHALKI  ARTO - KA39( 31-JUL-2018 ),2025,APR Was successfully downloaded
26:05:2025-18:54:13 - INFO - LOG: Uttar Pradesh,Bahraich - UP40( 11-DEC-2017 ),2025,MAR Was successfully downloaded
26:05:2025-18:54:15 - INFO - LOG: Karnataka,BHALKI  ARTO - KA39( 31-JUL-2018 ),2025,MAY Was successfully downloaded
26:05:2025-18:54:27 - INFO - LOG: Uttar Pradesh,Bahraich - UP40( 11-DEC-2017 ),2025,APR Was successfully downloaded
26:05:2025-18:54:40 - INFO - LOG: Uttar Pradesh,Bahraich - UP40( 11-DEC-2017 ),2025,MAY Was successfully downloaded
26:05:2025-18:54:45 - INFO - LOG: Karnataka,BIDAR  RTO - KA38( 01-AUG-2018 ),2025,JAN Was successfully downloaded
26:05:2025-18:54:59 - INFO - LOG: Karnataka,BIDAR  RTO - KA38( 01-AUG-2018 ),2025,FEB Was successfully downloaded
26:05:2025-18:55:10 - INFO - LOG: Uttar Pradesh,Ballia - UP60( 15-JAN-2018 ),2025,JAN Was successfully downloaded
26:05:2025-18:55:12 - INFO - LOG: Karnataka,BIDAR  RTO - KA38( 01-AUG-2018 ),2025,MAR Was successfully downloaded
26:05:2025-18:55:24 - INFO - LOG: Uttar Pradesh,Ballia - UP60( 15-JAN-2018 ),2025,FEB Was successfully downloaded
26:05:2025-18:55:26 - INFO - LOG: Karnataka,BIDAR  RTO - KA38( 01-AUG-2018 ),2025,APR Was successfully downloaded
26:05:2025-18:55:37 - INFO - LOG: Uttar Pradesh,Ballia - UP60( 15-JAN-2018 ),2025,MAR Was successfully downloaded
26:05:2025-18:55:39 - INFO - LOG: Karnataka,BIDAR  RTO - KA38( 01-AUG-2018 ),2025,MAY Was successfully downloaded
26:05:2025-18:55:51 - INFO - LOG: Uttar Pradesh,Ballia - UP60( 15-JAN-2018 ),2025,APR Was successfully downloaded
26:05:2025-18:56:04 - INFO - LOG: Uttar Pradesh,Ballia - UP60( 15-JAN-2018 ),2025,MAY Was successfully downloaded
26:05:2025-18:56:09 - INFO - LOG: Karnataka,BIJAPUR  RTO - KA28( 29-SEP-2018 ),2025,JAN Was successfully downloaded
26:05:2025-18:56:23 - INFO - LOG: Karnataka,BIJAPUR  RTO - KA28( 29-SEP-2018 ),2025,FEB Was successfully downloaded
